               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11521,            0.031267,                   0,            0.021794,            0.036585,           0.0040032,           0.0010382,              0.1015,            0.021697,                   0,             0.00019,             0.00019,             0.09829
                   1,             0.10212,            0.029065,                   0,            0.018646,             0.04878,           0.0046837,          0.00088613,            0.091846,            0.020381,                   0,          0.00038999,          0.00038999,             0.09649
                   2,            0.096998,            0.028766,                   0,             0.03105,             0.13415,            0.011979,           0.0020947,            0.085845,            0.020228,                   0,          0.00058994,          0.00058994,             0.09469
                   3,             0.09076,            0.028653,                   0,            0.034621,              0.2439,            0.020486,           0.0053068,            0.081056,            0.020443,                   0,          0.00078982,          0.00078982,             0.09289
                   4,            0.084209,            0.029973,                   0,             0.13129,             0.23171,            0.060842,            0.010015,            0.077407,            0.019872,                   0,          0.00098961,          0.00098961,             0.09109
                   5,            0.079123,            0.028435,                   0,               0.284,             0.19512,             0.13631,            0.029682,            0.071654,            0.019891,                   0,           0.0011893,           0.0011893,            0.089289
                   6,            0.074256,            0.029315,                   0,             0.60809,             0.17073,             0.16222,             0.03925,            0.069911,            0.020356,                   0,           0.0013888,           0.0013888,            0.087489
                   7,            0.070499,            0.026901,                   0,             0.62273,               0.302,              0.3258,            0.083453,            0.065206,            0.018531,                   0,           0.0015881,           0.0015881,            0.085688
                   8,            0.067057,            0.026393,                   0,              0.5478,              0.2439,              0.2812,             0.10137,            0.065226,            0.019296,                   0,           0.0017872,           0.0017872,            0.083887
                   9,            0.066499,             0.02549,                   0,              0.6848,             0.29268,             0.35882,             0.11056,            0.060705,            0.018226,                   0,            0.001986,            0.001986,            0.082086
