               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10493,            0.030026,                   0,            0.013473,             0.10646,           0.0058504,           0.0010968,            0.087098,            0.020034,                   0,             0.00061,             0.00061,             0.09451
                   1,            0.083367,            0.029176,                   0,             0.24024,             0.20455,             0.10773,            0.022115,            0.074043,            0.018749,                   0,             0.00123,             0.00123,             0.08893
                   2,            0.071423,            0.027058,                   0,             0.35911,             0.26542,             0.22127,            0.062442,             0.06671,            0.015835,                   0,           0.0018498,           0.0018498,             0.08335
                   3,            0.066135,            0.025592,                   0,             0.38744,             0.29665,             0.26811,             0.07125,            0.063929,            0.014658,                   0,           0.0024695,           0.0024695,            0.077769
                   4,            0.062237,            0.025079,                   0,             0.49496,             0.41866,              0.3983,             0.12779,            0.057729,            0.014429,                   0,           0.0030888,           0.0030888,            0.072189
                   5,            0.059207,            0.023488,                   0,             0.54717,             0.45673,             0.47639,             0.16866,             0.05499,            0.013942,                   0,           0.0037077,           0.0037077,            0.066608
                   6,            0.056089,            0.022947,                   0,             0.50125,             0.50718,             0.44761,             0.16939,            0.054148,            0.013397,                   0,           0.0043262,           0.0043262,            0.061026
                   7,            0.054707,            0.021689,                   0,             0.52488,             0.50359,              0.4975,             0.13457,            0.056304,            0.012792,                   0,            0.004944,            0.004944,            0.055444
                   8,            0.058083,            0.021611,                   0,             0.68705,             0.59928,             0.63504,             0.25734,            0.048966,            0.013754,                   0,           0.0055612,           0.0055612,            0.049861
                   9,            0.054249,            0.020478,                   0,             0.74577,             0.58254,             0.66546,             0.27714,            0.048256,            0.012883,                   0,           0.0061776,           0.0061776,            0.044278
                  10,            0.052533,            0.020346,                   0,             0.64858,             0.63158,             0.66871,             0.30123,            0.047614,            0.012585,                   0,           0.0067932,           0.0067932,            0.038693
                  11,            0.050137,            0.020044,                   0,             0.78578,             0.70335,             0.77807,             0.35101,            0.045155,            0.011259,                   0,           0.0074078,           0.0074078,            0.033108
                  12,            0.048786,              0.0191,                   0,             0.61072,             0.46411,             0.52082,             0.21415,            0.053367,            0.013821,                   0,           0.0080214,           0.0080214,            0.027521
                  13,            0.048513,            0.019382,                   0,             0.70354,             0.63587,              0.6904,              0.2905,             0.04547,            0.012777,                   0,           0.0086339,           0.0086339,            0.021934
