               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11135,            0.031153,                   0,            0.035128,            0.012195,           0.0027967,          0.00051246,            0.093149,            0.021413,                   0,             0.00062,             0.00062,             0.09442
                   1,            0.095112,            0.030157,                   0,            0.046666,             0.10976,            0.011997,           0.0029014,            0.080668,            0.020728,                   0,             0.00125,             0.00125,             0.08875
                   2,             0.08586,            0.030392,                   0,             0.21968,             0.18293,            0.074869,            0.015027,            0.069181,            0.019677,                   0,           0.0018798,           0.0018798,             0.08308
                   3,            0.078337,            0.027616,                   0,             0.33144,              0.2561,             0.20367,            0.046018,            0.064063,            0.018146,                   0,           0.0025094,           0.0025094,            0.077409
                   4,            0.072017,             0.02748,                   0,             0.27948,             0.24128,             0.16556,             0.03813,             0.06577,            0.016717,                   0,           0.0031388,           0.0031388,            0.071739
                   5,            0.068857,             0.02558,                   0,             0.63561,              0.2561,             0.27005,            0.087687,            0.061384,            0.015999,                   0,           0.0037677,           0.0037677,            0.066068
                   6,            0.065888,            0.024824,                   0,             0.34375,             0.31707,              0.2443,            0.075967,            0.068081,             0.01514,                   0,           0.0043961,           0.0043961,            0.060396
                   7,            0.063231,            0.023457,                   0,             0.34546,             0.45122,             0.31165,             0.11145,            0.059533,            0.015404,                   0,           0.0050239,           0.0050239,            0.054724
                   8,            0.062426,            0.024029,                   0,             0.40575,             0.29268,             0.25723,            0.064026,              0.0607,            0.016032,                   0,           0.0056511,           0.0056511,            0.049051
                   9,             0.06076,            0.023045,                   0,             0.34575,             0.32927,             0.25286,            0.086512,            0.056861,            0.015347,                   0,           0.0062774,           0.0062774,            0.043377
                  10,            0.059069,            0.022085,                   0,             0.34818,             0.36585,             0.28618,            0.072193,            0.059632,            0.015182,                   0,           0.0069029,           0.0069029,            0.037703
                  11,            0.058402,             0.02213,                   0,             0.56066,             0.37805,             0.36891,             0.10718,             0.06178,            0.015314,                   0,           0.0075275,           0.0075275,            0.032027
                  12,            0.055625,            0.021124,                   0,             0.41987,             0.35366,             0.27965,            0.062092,            0.062554,            0.016056,                   0,            0.008151,            0.008151,            0.026351
                  13,             0.05724,            0.021269,                   0,             0.41708,             0.35366,             0.30143,            0.095932,            0.057848,             0.01644,                   0,           0.0087733,           0.0087733,            0.020673
                  14,            0.054209,            0.019839,                   0,             0.35504,             0.32927,              0.2763,            0.073238,            0.060354,            0.015567,                   0,           0.0093944,           0.0093944,            0.014994
                  15,            0.054036,            0.020882,                   0,              0.5513,             0.39024,             0.42356,             0.13522,            0.060695,             0.01478,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,            0.052753,            0.021318,                   0,             0.49931,             0.39024,             0.34041,             0.10868,            0.060691,            0.015946,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.052072,            0.020719,                   0,              0.4907,             0.41463,             0.40025,             0.10551,            0.061779,            0.016008,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.050563,            0.019903,                   0,             0.34412,             0.35366,              0.2673,            0.084227,            0.066101,            0.016352,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.049866,            0.020134,                   0,             0.27614,             0.32927,             0.20881,            0.083466,            0.067341,            0.018697,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.047906,              0.0203,                   0,             0.40407,             0.46341,             0.38021,             0.12097,            0.059853,            0.016282,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.046896,            0.018299,                   0,             0.31871,             0.45122,             0.33976,             0.11291,            0.060342,            0.016673,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.043566,            0.017864,                   0,             0.52709,             0.35341,             0.34298,             0.10465,            0.060346,            0.017189,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.044318,            0.018065,                   0,             0.38818,             0.43902,             0.37585,             0.12521,            0.065921,            0.016175,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.042914,            0.017226,                   0,             0.50664,             0.46336,             0.39023,             0.11711,            0.061132,            0.016281,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.042612,            0.017201,                   0,             0.54537,             0.29268,             0.31883,              0.1088,            0.065197,            0.016655,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.041804,            0.017529,                   0,             0.62765,             0.32891,             0.35172,             0.10773,            0.060144,             0.01673,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.041247,            0.016912,                   0,              0.2899,             0.35366,             0.25991,            0.090397,            0.061405,            0.016948,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.039769,            0.016195,                   0,             0.55643,             0.35366,             0.32137,             0.10279,            0.063093,            0.016182,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.039264,            0.016312,                   0,             0.58551,             0.41463,             0.40574,             0.13802,            0.060832,            0.016565,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.038297,            0.015845,                   0,             0.50718,             0.37805,             0.36215,             0.10433,            0.061704,            0.017529,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.039752,            0.015867,                   0,             0.43917,             0.45122,             0.37181,             0.11965,            0.060077,            0.017183,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.038128,            0.015028,                   0,             0.52692,             0.47561,             0.41965,              0.1293,            0.060151,            0.017516,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.037849,            0.015917,                   0,             0.47362,             0.45122,             0.36697,             0.12302,             0.05891,            0.017953,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,             0.03639,            0.015367,                   0,             0.54701,             0.35366,             0.39145,             0.13863,            0.058524,            0.016992,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.03746,            0.015303,                   0,             0.54983,             0.40244,             0.36298,             0.11701,            0.061457,            0.016932,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.035997,             0.01519,                   0,             0.49858,             0.30488,             0.28722,             0.10088,            0.060398,            0.017024,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.035033,            0.015289,                   0,             0.42461,             0.45122,             0.36613,             0.10781,            0.059775,            0.017743,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.033852,            0.014317,                   0,             0.62733,             0.39005,                 0.4,             0.12991,            0.059741,            0.018081,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.034854,            0.013927,                   0,             0.51668,             0.36504,             0.35974,             0.11925,            0.058787,            0.017713,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.03424,            0.014769,                   0,             0.49901,             0.32927,             0.35927,             0.12456,            0.060543,            0.016778,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.034481,             0.01431,                   0,             0.38876,             0.42661,             0.34082,             0.12033,            0.061238,            0.017199,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.033293,             0.01381,                   0,             0.48375,             0.36585,             0.33694,             0.12448,             0.06122,            0.017281,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.032791,            0.013628,                   0,             0.49152,             0.37805,             0.29564,            0.098078,              0.0618,            0.016965,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.031735,            0.013206,                   0,             0.67238,             0.37805,             0.41522,             0.12945,            0.060321,            0.017194,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.031879,            0.013253,                   0,             0.51399,             0.43852,             0.42805,             0.13291,            0.056226,            0.017327,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.03118,            0.013407,                   0,             0.77561,             0.34146,             0.42147,             0.12999,            0.057261,            0.018103,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.031966,              0.0126,                   0,              0.4716,             0.43902,             0.40829,             0.13084,            0.059729,            0.018162,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.031103,            0.013344,                   0,             0.64674,             0.40244,             0.42154,              0.1428,             0.06238,            0.017069,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.032044,            0.013686,                   0,             0.63154,             0.43896,             0.41598,             0.12946,            0.061447,            0.017785,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.031109,            0.012836,                   0,             0.55548,              0.4267,             0.35952,             0.10552,            0.059652,            0.018565,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.031008,            0.012895,                   0,             0.65884,             0.42683,             0.41909,             0.12192,            0.061301,            0.017605,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.030273,            0.013154,                   0,             0.68625,             0.42683,              0.4486,             0.14502,            0.058113,            0.017167,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.029674,            0.012382,                   0,             0.57601,             0.41463,             0.37592,             0.11293,            0.059932,            0.018764,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.030203,             0.01322,                   0,             0.59672,             0.45113,             0.44775,             0.13736,            0.059057,            0.018162,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.030088,            0.012637,                   0,             0.51355,             0.42489,              0.3989,             0.13656,            0.058882,            0.019205,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.028683,             0.01271,                   0,             0.64239,             0.43902,              0.4507,              0.1472,            0.061026,            0.018545,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.028389,            0.012065,                   0,             0.66628,             0.31654,             0.32768,             0.13633,            0.059503,            0.019446,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.027742,            0.011667,                   0,             0.62046,              0.4386,             0.44616,             0.14988,            0.057858,            0.018621,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.029315,            0.012877,                   0,             0.64696,             0.40227,             0.37894,             0.12255,              0.0608,            0.019258,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.027385,            0.012004,                   0,             0.55406,             0.36585,             0.33861,              0.1206,            0.059334,            0.020162,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,             0.02914,            0.011454,                   0,             0.52458,             0.39024,             0.36868,             0.12808,            0.060982,            0.019059,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.027991,            0.012629,                   0,             0.49837,             0.40244,              0.3394,             0.10486,             0.06028,             0.01994,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.028127,            0.012095,                   0,             0.46751,             0.35333,             0.31761,             0.10736,            0.058742,              0.0201,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.02747,            0.011793,                   0,             0.68881,             0.37805,             0.39139,             0.14057,            0.057268,            0.020077,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.027339,            0.011674,                   0,             0.53619,             0.45115,             0.40294,             0.13542,            0.059813,            0.019084,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.026926,            0.011916,                   0,             0.47528,             0.35366,             0.33577,             0.10211,            0.061268,             0.02085,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.027568,            0.011787,                   0,              0.4736,             0.45122,             0.40698,             0.11305,            0.061076,            0.021308,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.026802,            0.011395,                   0,             0.61904,             0.31707,             0.39385,             0.12838,            0.060324,            0.019796,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.027188,            0.011913,                   0,             0.53112,             0.41442,              0.4198,             0.13505,            0.059938,            0.019108,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,             0.02663,            0.011806,                   0,             0.72311,             0.41463,             0.41001,             0.11753,             0.06047,            0.018508,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.026998,            0.011278,                   0,             0.54886,             0.43902,              0.4298,              0.1407,            0.060979,            0.018315,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.02638,            0.011788,                   0,             0.60376,             0.39022,             0.39087,             0.12829,            0.060295,            0.018663,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.025827,            0.011692,                   0,             0.58435,             0.41463,              0.4174,             0.15002,            0.060719,            0.019547,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.024561,            0.011559,                   0,             0.68882,             0.37794,             0.42757,             0.13995,            0.061904,            0.020207,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.026825,            0.011776,                   0,             0.41068,             0.45043,             0.39484,             0.12784,            0.059518,             0.01985,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.026048,            0.011606,                   0,             0.52438,             0.38993,              0.3492,             0.11941,            0.059681,            0.020821,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.02585,            0.011201,                   0,             0.55172,             0.39024,             0.38281,             0.13113,            0.060649,            0.019515,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.024205,            0.010822,                   0,             0.62499,             0.36585,             0.36064,             0.12225,            0.061261,            0.020373,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.024901,            0.011165,                   0,             0.67378,             0.37805,              0.4093,             0.14223,            0.060046,            0.019195,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.024881,            0.010783,                   0,             0.66592,             0.39024,             0.40882,             0.13808,            0.060391,            0.020228,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.024926,            0.011439,                   0,              0.5063,             0.46341,             0.40096,             0.13245,            0.059078,             0.02007,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.024394,             0.01095,                   0,             0.58319,             0.42683,             0.39404,             0.12701,            0.058929,            0.019649,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,             0.02419,            0.011363,                   0,             0.52103,             0.42683,             0.36826,             0.11539,            0.058176,            0.021457,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.024093,             0.01102,                   0,             0.67471,             0.32927,             0.35778,             0.12306,            0.060941,            0.020363,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.024144,            0.010812,                   0,             0.48621,             0.43854,              0.3977,             0.15158,            0.061881,            0.020204,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.023464,            0.010788,                   0,             0.64944,             0.31707,             0.35719,             0.14537,            0.060615,            0.021383,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.024421,            0.010533,                   0,             0.56067,             0.39024,             0.35417,             0.13301,            0.060855,            0.020409,                   0,           0.0082952,           0.0082952,           0.0082952
