               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11628,            0.047058,                   0,           0.0076863,            0.067961,           0.0034253,          0.00067538,             0.10506,            0.038694,                   0,             0.00023,             0.00023,             0.09793
                   1,             0.10399,            0.050425,                   0,            0.027146,            0.050971,           0.0081443,           0.0014518,            0.092608,            0.040823,                   0,           0.0004699,           0.0004699,             0.09577
                   2,            0.096976,            0.051581,                   0,            0.080107,            0.053398,            0.019338,           0.0033503,            0.087849,            0.041026,                   0,          0.00070937,          0.00070937,            0.093609
                   3,            0.091391,            0.051733,                   0,            0.073846,             0.16262,            0.031427,           0.0055287,            0.084335,            0.040253,                   0,           0.0009481,           0.0009481,            0.091448
                   4,            0.084753,            0.057097,                   0,             0.12119,             0.17718,            0.066458,            0.013933,            0.079867,            0.039056,                   0,           0.0011858,           0.0011858,            0.089286
                   5,            0.080794,            0.050947,                   0,             0.12908,             0.24029,            0.077114,            0.014099,            0.076205,            0.039959,                   0,           0.0014221,           0.0014221,            0.087122
                   6,             0.07598,            0.050726,                   0,             0.18469,             0.32282,             0.13059,            0.025854,            0.072575,            0.039656,                   0,           0.0016567,           0.0016567,            0.084957
                   7,            0.074234,            0.051259,                   0,              0.1848,             0.32767,             0.14328,            0.030889,            0.071076,            0.036848,                   0,           0.0018893,           0.0018893,            0.082789
                   8,            0.070871,            0.046999,                   0,             0.23902,             0.28641,             0.16712,             0.03826,             0.06947,            0.036578,                   0,           0.0021196,           0.0021196,             0.08062
                   9,            0.067614,            0.049647,                   0,             0.28592,             0.34223,             0.24947,            0.058651,             0.06596,            0.035979,                   0,           0.0023473,           0.0023473,            0.078447
                  10,            0.065943,            0.051565,                   0,             0.25067,             0.30097,             0.20574,            0.050033,            0.066689,            0.037267,                   0,           0.0025721,           0.0025721,            0.076272
                  11,            0.064217,            0.046221,                   0,             0.36218,             0.37621,             0.29403,            0.078473,            0.063627,            0.035564,                   0,           0.0027936,           0.0027936,            0.074094
                  12,            0.063663,            0.045692,                   0,             0.37596,             0.35437,             0.27762,            0.071786,            0.063416,            0.034839,                   0,           0.0030117,           0.0030117,            0.071912
                  13,            0.062325,            0.046334,                   0,              0.4185,              0.3581,             0.33944,            0.093454,            0.063863,            0.034409,                   0,            0.003226,            0.003226,            0.069726
                  14,            0.061363,            0.045662,                   0,              0.2895,             0.47087,             0.30582,            0.072555,             0.06146,            0.033923,                   0,           0.0034362,           0.0034362,            0.067536
                  15,            0.060806,            0.043751,                   0,             0.37382,             0.38978,             0.31742,            0.076037,            0.064269,            0.033986,                   0,           0.0036421,           0.0036421,            0.065342
                  16,            0.058609,            0.045922,                   0,             0.43325,             0.48057,             0.35243,            0.090192,            0.060103,            0.032899,                   0,           0.0038435,           0.0038435,            0.063143
                  17,            0.059497,            0.043823,                   0,              0.5069,             0.43932,             0.42291,             0.12091,            0.062124,            0.032968,                   0,           0.0040399,           0.0040399,             0.06094
                  18,            0.057242,            0.047036,                   0,             0.49045,             0.52098,             0.42071,              0.1345,            0.056804,            0.033023,                   0,           0.0042313,           0.0042313,            0.058731
                  19,            0.056373,            0.039537,                   0,             0.46107,             0.57039,              0.4642,             0.16554,            0.056655,            0.034643,                   0,           0.0044173,           0.0044173,            0.056517
                  20,            0.054655,            0.043942,                   0,             0.60316,              0.5128,             0.50723,             0.16646,            0.058211,            0.032805,                   0,           0.0045977,           0.0045977,            0.054298
                  21,            0.059326,            0.039489,                   0,             0.53373,             0.53398,             0.49019,             0.17971,            0.057933,            0.033715,                   0,           0.0047724,           0.0047724,            0.052072
                  22,            0.059171,             0.04271,                   0,             0.51371,             0.47692,             0.44467,             0.15364,            0.057559,            0.033674,                   0,            0.004941,            0.004941,            0.049841
                  23,            0.056601,            0.039606,                   0,             0.64866,             0.56068,             0.57574,             0.22187,            0.054975,            0.031789,                   0,           0.0051034,           0.0051034,            0.047603
                  24,            0.056629,             0.04075,                   0,             0.50602,              0.4724,             0.46641,             0.15972,            0.059044,             0.03313,                   0,           0.0052594,           0.0052594,            0.045359
                  25,            0.052178,             0.03734,                   0,              0.7175,             0.55583,             0.61112,             0.23155,            0.053722,            0.031583,                   0,           0.0054089,           0.0054089,            0.043109
                  26,            0.051984,            0.038516,                   0,             0.74631,             0.52184,             0.57319,             0.22608,            0.052844,            0.031811,                   0,           0.0055516,           0.0055516,            0.040852
                  27,             0.05066,            0.039286,                   0,             0.72857,              0.5801,             0.62039,             0.26689,            0.053544,             0.03034,                   0,           0.0056873,           0.0056873,            0.038587
                  28,            0.050211,            0.038051,                   0,             0.63348,             0.54116,             0.56545,             0.21978,            0.054443,             0.03199,                   0,            0.005816,            0.005816,            0.036316
                  29,            0.050784,            0.038506,                   0,             0.52533,             0.51456,             0.47784,             0.15895,            0.061118,            0.033703,                   0,           0.0059376,           0.0059376,            0.034038
                  30,            0.049898,            0.036262,                   0,              0.6694,             0.57039,             0.60811,              0.2507,            0.052381,            0.031964,                   0,           0.0060518,           0.0060518,            0.031752
                  31,            0.046562,            0.035378,                   0,             0.79234,             0.49515,             0.60207,             0.25176,            0.052944,            0.032781,                   0,           0.0061585,           0.0061585,            0.029459
                  32,            0.048122,            0.038996,                   0,              0.7683,             0.51942,             0.60284,             0.25837,            0.052369,            0.031991,                   0,           0.0062578,           0.0062578,            0.027158
                  33,            0.046594,            0.038335,                   0,             0.80351,              0.6068,             0.66495,             0.29074,            0.050792,             0.03094,                   0,           0.0063494,           0.0063494,            0.024849
