               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11608,            0.035906,                   0,            0.012549,            0.052632,           0.0027063,           0.0004507,             0.10951,            0.025592,                   0,             0.00016,             0.00016,             0.09856
                   1,             0.11104,            0.032896,                   0,            0.019085,            0.021053,           0.0030533,          0.00053954,             0.10597,            0.022366,                   0,          0.00032993,          0.00032993,             0.09703
                   2,             0.10485,            0.032922,                   0,            0.016612,            0.031579,           0.0030553,          0.00051447,            0.094596,            0.022264,                   0,          0.00049956,          0.00049956,              0.0955
                   3,             0.10071,            0.032153,                   0,            0.018135,            0.031579,           0.0042017,          0.00089993,            0.087439,            0.022204,                   0,          0.00066866,          0.00066866,            0.093969
                   4,            0.096944,            0.030903,                   0,            0.017982,             0.12105,           0.0055754,          0.00089937,             0.07969,            0.022409,                   0,          0.00083702,          0.00083702,            0.092437
                   5,            0.092822,            0.033696,                   0,            0.041565,            0.052632,           0.0092741,           0.0017569,            0.079506,            0.021653,                   0,           0.0010044,           0.0010044,            0.090904
                   6,            0.089773,            0.035067,                   0,             0.10665,            0.047368,            0.013878,           0.0034019,            0.078243,            0.021313,                   0,           0.0011706,           0.0011706,            0.089371
                   7,            0.087634,            0.033613,                   0,             0.07227,            0.073684,            0.021304,           0.0037033,            0.077474,            0.021204,                   0,           0.0013354,           0.0013354,            0.087835
                   8,            0.083327,            0.033943,                   0,             0.10807,            0.078947,             0.03804,           0.0097632,            0.079702,             0.02073,                   0,           0.0014985,           0.0014985,            0.086299
                   9,              0.0815,            0.035709,                   0,             0.17453,             0.13158,            0.058489,            0.017612,             0.06902,            0.020919,                   0,           0.0016598,           0.0016598,             0.08476
                  10,            0.079522,             0.03608,                   0,              0.1466,             0.16274,            0.060262,            0.013204,            0.063888,            0.021842,                   0,            0.001819,            0.001819,            0.083219
                  11,            0.076876,             0.03624,                   0,             0.16459,             0.11053,            0.047949,            0.010514,            0.062726,            0.021073,                   0,            0.001976,            0.001976,            0.081676
                  12,            0.074304,            0.034209,                   0,             0.29863,             0.13158,            0.081225,            0.022892,            0.061732,            0.020591,                   0,           0.0021305,           0.0021305,             0.08013
                  13,            0.072314,            0.032423,                   0,             0.28503,             0.17895,             0.11089,            0.038988,            0.057833,            0.020775,                   0,           0.0022823,           0.0022823,            0.078582
                  14,            0.072293,            0.037632,                   0,             0.29596,              0.1947,             0.10464,            0.040665,            0.056338,            0.020529,                   0,           0.0024312,           0.0024312,            0.077031
                  15,            0.069224,             0.03581,                   0,             0.32537,             0.21053,             0.13144,              0.0448,            0.055602,            0.019965,                   0,           0.0025771,           0.0025771,            0.075477
                  16,            0.068652,            0.033291,                   0,             0.20555,             0.15263,             0.07587,            0.028458,            0.064803,            0.019516,                   0,           0.0027197,           0.0027197,             0.07392
                  17,             0.06652,            0.032806,                   0,             0.36903,             0.25263,             0.19064,            0.072012,            0.055542,            0.018496,                   0,           0.0028589,           0.0028589,            0.072359
                  18,            0.064856,            0.032411,                   0,             0.41494,                 0.2,             0.21469,            0.074915,            0.054272,            0.018327,                   0,           0.0029944,           0.0029944,            0.070794
                  19,            0.064764,            0.032474,                   0,             0.38911,             0.24211,             0.23149,            0.080142,            0.050838,            0.018137,                   0,           0.0031262,           0.0031262,            0.069226
                  20,             0.06121,            0.031409,                   0,             0.40621,             0.26284,             0.26454,             0.10763,            0.048183,            0.017307,                   0,            0.003254,            0.003254,            0.067654
                  21,             0.06203,            0.030228,                   0,             0.36426,             0.33158,             0.26608,             0.10319,            0.047015,            0.017488,                   0,           0.0033778,           0.0033778,            0.066078
                  22,            0.060175,            0.030597,                   0,             0.46227,             0.31579,             0.30601,             0.13092,             0.04735,            0.016322,                   0,           0.0034973,           0.0034973,            0.064497
                  23,            0.059578,            0.030904,                   0,              0.4617,             0.28891,             0.30248,             0.12885,            0.053334,             0.01566,                   0,           0.0036123,           0.0036123,            0.062912
                  24,            0.059131,            0.031019,                   0,             0.39514,              0.3129,             0.29898,            0.090376,            0.051004,             0.01566,                   0,           0.0037229,           0.0037229,            0.061323
                  25,            0.056847,             0.03056,                   0,             0.33571,             0.21579,             0.21027,            0.082775,            0.054317,            0.016305,                   0,           0.0038288,           0.0038288,            0.059729
                  26,            0.056665,            0.028306,                   0,             0.55488,             0.38947,             0.37994,             0.15644,            0.049066,            0.015717,                   0,           0.0039299,           0.0039299,             0.05813
                  27,            0.055066,            0.028527,                   0,             0.53073,             0.42105,             0.42645,             0.16585,            0.044667,             0.01511,                   0,           0.0040261,           0.0040261,            0.056526
                  28,            0.055477,            0.027216,                   0,             0.49601,             0.36259,             0.36589,             0.16542,            0.043803,            0.015393,                   0,           0.0041173,           0.0041173,            0.054917
                  29,             0.05732,            0.026633,                   0,             0.40091,             0.38947,             0.34586,             0.12141,            0.044142,            0.015322,                   0,           0.0042034,           0.0042034,            0.053303
                  30,            0.056231,            0.026367,                   0,             0.47985,             0.35789,             0.36055,             0.10396,            0.051051,            0.014256,                   0,           0.0042843,           0.0042843,            0.051684
                  31,            0.057355,            0.026816,                   0,             0.45483,             0.48302,             0.42626,             0.16294,            0.044405,            0.014225,                   0,             0.00436,             0.00436,             0.05006
                  32,            0.054661,            0.026151,                   0,             0.66025,             0.45263,             0.48967,             0.22552,            0.043641,            0.014084,                   0,           0.0044303,           0.0044303,             0.04843
                  33,              0.0538,            0.025519,                   0,             0.59903,                 0.4,             0.46546,             0.19696,            0.046188,            0.013791,                   0,           0.0044952,           0.0044952,            0.046795
                  34,            0.054113,            0.023734,                   0,             0.53335,             0.49474,              0.5049,             0.20048,            0.041672,            0.014317,                   0,           0.0045547,           0.0045547,            0.045155
