               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11375,            0.039975,                   0,           0.0058503,            0.012048,           0.0012699,          0.00027067,             0.10425,            0.034808,                   0,             0.00058,             0.00058,             0.09478
                   1,             0.10219,            0.039356,                   0,            0.024289,            0.020654,           0.0035291,          0.00082743,            0.094565,            0.036679,                   0,             0.00117,             0.00117,             0.08947
                   2,            0.091818,            0.038772,                   0,            0.077648,             0.12838,            0.033907,           0.0062059,             0.08545,            0.034361,                   0,           0.0017598,           0.0017598,             0.08416
                   3,             0.08386,             0.03716,                   0,             0.13794,             0.19966,            0.079185,            0.016879,            0.079534,            0.032145,                   0,           0.0023495,           0.0023495,            0.078849
                   4,            0.078439,             0.03573,                   0,             0.21245,             0.19277,             0.13602,            0.030586,            0.075092,             0.03147,                   0,           0.0029388,           0.0029388,            0.073539
                   5,            0.075064,            0.033559,                   0,              0.2387,              0.2358,             0.14972,            0.034889,            0.074642,            0.030049,                   0,           0.0035278,           0.0035278,            0.068228
                   6,            0.072855,            0.034042,                   0,             0.21883,             0.25645,             0.16945,             0.04434,            0.071822,            0.029663,                   0,           0.0041163,           0.0041163,            0.062916
                   7,            0.070464,            0.032408,                   0,             0.22286,             0.29604,               0.181,            0.049367,            0.071005,            0.028955,                   0,           0.0047043,           0.0047043,            0.057604
                   8,            0.071759,            0.031646,                   0,             0.28294,             0.27022,             0.19468,            0.055236,            0.070857,            0.028363,                   0,           0.0052916,           0.0052916,            0.052292
                   9,            0.069934,            0.031121,                   0,             0.17284,             0.14422,            0.093471,             0.02246,            0.081709,            0.027952,                   0,           0.0058782,           0.0058782,            0.046978
                  10,            0.067397,            0.030645,                   0,              0.2917,             0.26297,             0.17319,            0.040183,            0.076209,            0.028377,                   0,            0.006464,            0.006464,            0.041664
                  11,             0.06403,            0.030627,                   0,             0.24459,             0.33219,             0.20566,            0.056383,            0.069896,            0.028553,                   0,           0.0070489,           0.0070489,            0.036349
