               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092038,            0.040069,                   0,            0.088864,             0.18153,            0.059587,            0.013496,            0.080543,            0.031926,                   0,             0.00225,             0.00225,             0.07975
                   1,            0.069338,            0.036838,                   0,             0.26961,             0.21518,             0.14879,            0.037771,            0.071367,            0.028342,                   0,           0.0045099,           0.0045099,             0.05941
                   2,            0.064217,            0.035479,                   0,             0.21635,             0.26369,             0.15169,            0.041179,            0.071197,             0.02788,                   0,           0.0067693,           0.0067693,            0.039069
                   3,            0.061812,            0.034751,                   0,             0.21734,             0.17997,              0.1178,            0.035277,            0.075958,            0.029194,                   0,            0.009028,            0.009028,            0.018728
                   4,            0.061086,            0.035876,                   0,             0.27324,              0.2543,             0.18364,            0.050578,            0.070991,            0.029323,                   0,           0.0099961,           0.0099961,           0.0099961
                   5,            0.059285,            0.035496,                   0,             0.32383,             0.29186,             0.22396,            0.070043,            0.069201,            0.029587,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.056491,            0.034645,                   0,             0.30453,             0.26526,             0.18481,            0.053616,            0.069079,            0.028422,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.054894,            0.033614,                   0,             0.31117,             0.31925,             0.22165,            0.068977,            0.068145,            0.027876,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.054255,            0.033451,                   0,             0.38596,             0.29577,             0.25423,            0.081842,            0.067301,            0.026739,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.053505,            0.033224,                   0,              0.3479,             0.35603,             0.26985,            0.085526,            0.066471,            0.028044,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.052155,            0.032082,                   0,             0.32906,             0.34193,             0.25602,            0.082936,            0.067139,            0.027534,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.050749,            0.031797,                   0,             0.37761,             0.32394,             0.25767,            0.083012,            0.067443,            0.027288,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.050801,            0.031628,                   0,               0.415,             0.27856,             0.25435,            0.080469,            0.068101,             0.02778,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.049818,            0.031157,                   0,             0.40973,             0.28091,             0.25923,            0.081065,            0.066851,            0.027234,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.049443,            0.031635,                   0,             0.34082,             0.34742,             0.26856,             0.08948,            0.066108,            0.027363,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.048423,            0.031081,                   0,             0.43377,             0.31847,             0.29031,            0.094724,            0.066839,            0.027116,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.047542,            0.030395,                   0,             0.37645,             0.33352,             0.27191,            0.089042,            0.066674,            0.027697,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.047426,            0.030277,                   0,             0.35898,             0.36698,             0.28074,            0.093925,             0.06655,            0.027171,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.046448,            0.030169,                   0,             0.41771,             0.34194,             0.29529,             0.09763,            0.065255,            0.027617,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.045555,            0.029592,                   0,             0.44872,             0.33646,             0.31088,             0.10296,             0.06601,            0.027417,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.045239,            0.029013,                   0,             0.44066,             0.32942,             0.30321,            0.094747,            0.066778,               0.028,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.045057,            0.028851,                   0,              0.4046,             0.32707,             0.27219,            0.096326,            0.066986,            0.027851,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.044741,            0.028724,                   0,             0.42618,             0.34116,             0.29244,             0.10123,            0.066509,            0.027783,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.043988,            0.028329,                   0,             0.38532,             0.30986,             0.24652,            0.079972,            0.068363,            0.027845,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.043912,            0.028209,                   0,             0.45393,             0.32003,             0.27096,            0.092348,            0.067466,            0.027771,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.043667,            0.028412,                   0,             0.39482,              0.3482,             0.27014,            0.090898,            0.066366,            0.027969,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.043038,            0.027655,                   0,             0.43178,              0.3302,             0.28132,            0.098582,            0.066501,            0.028172,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.042636,            0.028088,                   0,             0.38371,             0.32786,             0.25259,            0.083632,            0.066786,            0.028311,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.042536,            0.027503,                   0,             0.45697,             0.32067,              0.2914,             0.10469,            0.067357,            0.027226,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.042053,            0.026603,                   0,             0.38642,             0.37324,             0.30532,               0.107,            0.066384,            0.027787,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.042017,            0.026915,                   0,              0.4473,             0.34038,             0.30605,             0.11079,            0.066648,            0.028439,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.041367,            0.027412,                   0,             0.44969,             0.35524,             0.31788,              0.1216,            0.065841,            0.027256,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.041795,            0.027191,                   0,             0.48731,             0.32629,             0.33112,             0.11863,            0.065718,            0.027335,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.040558,            0.026648,                   0,              0.5235,             0.35603,              0.3478,             0.12162,            0.065675,             0.02829,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.040271,            0.025866,                   0,             0.43533,             0.35368,             0.30784,             0.10794,            0.065927,            0.028541,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.039916,            0.025735,                   0,             0.47422,             0.33333,             0.31577,             0.11705,            0.066179,            0.027401,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.039776,             0.02556,                   0,             0.42209,             0.34862,             0.30784,             0.11223,            0.066545,            0.028511,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.039574,            0.025694,                   0,             0.46463,             0.32551,             0.30867,             0.11206,            0.066293,            0.027747,                   0,            0.009684,            0.009684,            0.009684
                  38,             0.03903,             0.02568,                   0,              0.4296,             0.32473,             0.29818,             0.10756,            0.066238,            0.028585,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.039028,            0.025433,                   0,             0.46011,             0.36228,             0.31845,             0.11445,            0.067662,            0.028622,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.039321,            0.025784,                   0,             0.38457,             0.40845,             0.33152,             0.11978,            0.065426,            0.028178,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.038329,            0.024749,                   0,             0.44671,             0.36072,             0.31133,             0.11171,            0.066657,             0.02797,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.038457,            0.025222,                   0,             0.46951,             0.36854,             0.33399,             0.12218,            0.066745,            0.028528,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.038097,              0.0244,                   0,             0.44296,             0.37559,             0.32417,             0.11691,            0.066314,            0.028324,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.037789,            0.024453,                   0,             0.43156,             0.35524,             0.30583,             0.10928,            0.067402,            0.028531,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.038083,            0.025306,                   0,             0.49115,             0.31064,             0.28995,             0.10389,            0.066783,            0.028943,                   0,           0.0095307,           0.0095307,           0.0095307
