               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092036,            0.040048,                   0,            0.077897,             0.19171,            0.049048,             0.01135,            0.080985,            0.031421,                   0,             0.00225,             0.00225,             0.07975
                   1,            0.069347,            0.036916,                   0,             0.25277,             0.22613,             0.14744,            0.037114,            0.071878,            0.028801,                   0,           0.0045099,           0.0045099,             0.05941
                   2,            0.064219,            0.035559,                   0,             0.31499,             0.29499,             0.21321,            0.061578,            0.068424,            0.027601,                   0,           0.0067693,           0.0067693,            0.039069
                   3,            0.061938,            0.035053,                   0,             0.25525,             0.22457,             0.14303,            0.043521,            0.072416,            0.029811,                   0,            0.009028,            0.009028,            0.018728
                   4,            0.061161,            0.035924,                   0,             0.28293,             0.26682,             0.16719,            0.049268,            0.070153,            0.031414,                   0,           0.0099961,           0.0099961,           0.0099961
                   5,            0.059207,            0.035525,                   0,             0.36861,             0.28002,             0.22194,            0.065292,            0.068639,            0.028508,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.056531,            0.034734,                   0,             0.29744,             0.29656,             0.20478,            0.059849,            0.069792,             0.02792,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,             0.05479,            0.033661,                   0,             0.35351,             0.25665,             0.18854,            0.054376,              0.0715,            0.027042,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.054371,            0.033528,                   0,             0.36443,             0.35524,             0.25084,             0.07439,            0.067158,            0.027309,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.053305,            0.033148,                   0,             0.39558,             0.28795,             0.25276,            0.079883,            0.067684,            0.028544,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.052195,            0.032109,                   0,             0.35949,             0.30047,             0.24336,            0.074798,            0.066984,            0.027774,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.050763,            0.031758,                   0,             0.41369,             0.26369,             0.25188,            0.076495,            0.068274,            0.026962,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.05077,            0.031619,                   0,             0.41495,             0.30357,             0.27348,            0.084269,            0.067076,            0.026982,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.049619,            0.030929,                   0,             0.34944,             0.28951,             0.25414,            0.085454,            0.066927,            0.028054,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.049566,            0.031719,                   0,              0.3795,             0.35127,             0.29289,            0.094909,            0.067619,            0.026689,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,             0.04825,            0.030906,                   0,              0.4199,             0.31768,             0.29396,             0.10248,             0.06566,            0.026748,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.047329,             0.03029,                   0,             0.40586,             0.35446,             0.29435,             0.09741,            0.066502,            0.027083,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.047296,            0.030107,                   0,             0.35128,             0.32864,             0.26735,            0.089745,            0.066797,            0.027522,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.046298,            0.030142,                   0,              0.4511,             0.29969,             0.27915,            0.096152,            0.065885,            0.027939,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.045745,             0.02965,                   0,             0.47105,             0.30125,             0.29203,            0.096471,            0.065487,            0.026998,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.045264,            0.029052,                   0,             0.35931,              0.3482,             0.27051,            0.095169,            0.066292,            0.028346,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.04496,            0.028791,                   0,             0.40837,             0.34272,             0.28615,            0.099346,            0.065584,            0.027703,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.044664,            0.028467,                   0,             0.34689,             0.34585,             0.27486,            0.096498,            0.067482,            0.027264,                   0,           0.0098916,           0.0098916,           0.0098916
